plon,plat,P95,age
-180.0,90.0,0.0,0
159.40759361484163,87.06826422685917,1.18201219490578,10
173.0619854606138,84.37436869040829,1.17436913586091,20
-176.8487110296797,83.45210629038903,0.920549984611147,30
174.52479344553717,83.07522903940081,1.26892151026476,40
171.37375347265322,82.06346944868147,0.908349547501678,50
-179.3000791950801,81.4058585455866,0.80446278952634,60
-169.34325954496737,82.98322436243532,0.909750078038192,70
-176.9075793423082,86.68170067139329,1.20597724509035,80
-68.43410349915173,86.94385606157248,1.50254892471341,90
-54.61077701404096,83.14021671773791,1.79161831109218,100
-43.186602850435634,81.6941672362431,1.33351582909317,110
-31.037078890450374,81.5822708158396,1.11013126036477,120
-33.2877673365241,78.988813532168,0.772722526582182,130
-21.938423584409264,78.26034167359832,1.20580404015028,140
-10.963149526786992,78.92810761088879,2.61046716970542,150
8.458215869164889,77.19499086035641,3.0048835265234,160
26.680487625059783,75.43438679678037,3.22671105301858,170
38.70700035483031,71.844780656624,1.6168764661807,180
49.09114706555056,69.37865280287046,1.40489284536701,190
58.75048740623629,68.99060165310102,1.39819535053706,200
64.58094668440339,71.51565586616107,1.26509057758646,210
66.43987459147797,75.02339604551173,1.08082323868336,220
62.18617372138908,79.886730753905,1.45368069366547,230
54.19142909043174,86.33789118580818,2.62648399352524,240
-39.76100364560202,87.91596972114863,1.90265357045156,250
-87.21076660368142,86.64726574330992,1.38184312563196,260
-131.94936102156095,86.10317403028547,1.58377481298628,270
-141.26117006690376,82.88056846110244,1.29238021150743,280
-138.0951714338868,80.03255566607316,1.9932152673658,290
-152.85512891765515,75.22087755079718,2.38128873126981,300
-161.86801273616962,70.44349403727408,2.67313010633651,310
-175.78262615377517,69.23211331227411,2.71471196726129,320
